F_Governorate,F_District,F_Subdistrict,F_Community,Comment,T_Governorate,T_District,T_Subdistrict,T_Community,TypeofShelter,ShelterSpecific,Nov_Change,F_Government PCODE,F_Dictrict PCODE,F_SubDistrict PCODE,F_Community PCODE,T_Government PCODE,T_District PCODE,T_SubDictrict PCODE,T_Community PCODE
Aleppo/ ???,Ain Al Arab/ ??? ?????,Sarin,,,Aleppo/ ???,A'zaz/ ?????,Azaz,Azaz/ ?????,Other/ ????,Azaz Transit and Reception Centre,47,SY02,SY0206,SY020602,,SY02,SY0204,SY020400,C1564
Aleppo/ ???,Al Bab/ ?????,Al Bab,Al Bab/ ?????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Kafr Nobol,Ftireh/ ?????,,,75,SY02,SY0202,SY020200,C1202,SY07,SY0702,SY070203,C4070
Aleppo/ ???,Al Bab/ ?????,Ar-Raee,,,Aleppo/ ???,A'zaz/ ?????,Azaz,Azaz/ ?????,Other/ ????,Azaz Transit and Reception Centre,2,SY02,SY0202,SY020203,,SY02,SY0204,SY020400,C1564
Aleppo/ ???,Al Bab/ ?????,Dayr Hafir,,,Aleppo/ ???,A'zaz/ ?????,Azaz,Azaz/ ?????,Other/ ????,Azaz Transit and Reception Centre,19,SY02,SY0202,SY020202,,SY02,SY0204,SY020400,C1564
Aleppo/ ???,As-Safira/ ???????,As-Safira,,,Aleppo/ ???,A'zaz/ ?????,Azaz,Azaz/ ?????,Other/ ????,Azaz Transit and Reception Centre,34,SY02,SY0207,SY020700,,SY02,SY0204,SY020400,C1564
Aleppo/ ???,Jarablus/ ??????,Jarablus,,,Aleppo/ ???,A'zaz/ ?????,Azaz,Azaz/ ?????,Other/ ????,Azaz Transit and Reception Centre,7,SY02,SY0208,SY020800,,SY02,SY0204,SY020400,C1564
Aleppo/ ???,Menbij/ ????,Maskana,,,Aleppo/ ???,A'zaz/ ?????,Azaz,Azaz/ ?????,Other/ ????,Azaz Transit and Reception Centre,14,SY02,SY0205,SY020503,,SY02,SY0204,SY020400,C1564
Aleppo/ ???,Menbij/ ????,Menbij,,,Aleppo/ ???,A'zaz/ ?????,Azaz,Azaz/ ?????,Other/ ????,Azaz Transit and Reception Centre,7,SY02,SY0205,SY020500,,SY02,SY0204,SY020400,C1564
Aleppo/ ???,Al Bab/ ?????,Tadaf,,,Aleppo/ ???,A'zaz/ ?????,Azaz,Azaz/ ?????,Other/ ????,Azaz Transit and Reception Centre,11,SY02,SY0202,SY020201,,SY02,SY0204,SY020400,C1564
Aleppo/ ???,Jebel Saman (Aleppo)/ ??? ?????,Jebel Saman (Aleppo),,,Aleppo/ ???,A'zaz/ ?????,Azaz,Azaz/ ?????,Other/ ????,Azaz Transit and Reception Centre,21,SY02,SY0200,SY020000,,SY02,SY0204,SY020400,C1564
